Rater,Session,Treatment,Time (Recording),Time (Session),S1,S2,S3,S4,S5,S6,S7
Author 1,H01T2,Hypothesis,1:08:58,0:20:00,,,,X,,,
Author 1,H01T2,Hypothesis,1:09:28,0:20:30,,,,X,X,X,X
Author 1,H01T2,Hypothesis,1:09:58,0:21:00,,,,,,,X
Author 1,H01T2,Hypothesis,1:10:28,0:21:30,,,,,,,X
Author 1,H01T2,Hypothesis,1:10:58,0:22:00,,,,,,,X
Author 1,H01T2,Hypothesis,1:11:28,0:22:30,,,,,,,X
Author 1,H01T2,Hypothesis,1:11:58,0:23:00,,,X,,,,X
Author 1,H01T2,Hypothesis,1:12:28,0:23:30,,,X,,,,
Author 1,H01T2,Hypothesis,1:12:58,0:24:00,,,X,,,,
Author 1,H01T2,Hypothesis,1:13:28,0:24:30,,X,X,,,,
Author 1,H01T2,Hypothesis,1:13:58,0:25:00,,X,,,,,
Author 1,H01T2,Hypothesis,1:14:28,0:25:30,,X,X,X,,,
Author 1,H01T2,Hypothesis,1:14:58,0:26:00,,,,X,,,
Author 1,H01T2,Hypothesis,1:15:28,0:26:30,,,,X,,,
Author 1,H01T2,Hypothesis,1:15:58,0:27:00,,,,X,,,
Author 1,H01T2,Hypothesis,1:16:28,0:27:30,,,,X,,,
Author 1,H01T2,Hypothesis,1:16:58,0:28:00,,,,X,,,
Author 1,H01T2,Hypothesis,1:17:28,0:28:30,,,,X,,,
Author 1,H01T2,Hypothesis,1:17:58,0:29:00,,,,X,,,
Author 1,H01T2,Hypothesis,1:18:28,0:29:30,,X,X,X,,,
Author 1,H01T2,Hypothesis,1:18:58,0:30:00,,,X,,,,
Author 1,H03T1,Hypothesis,0:14:50,0:00:00,,X,X,,,,
Author 1,H03T1,Hypothesis,0:15:20,0:00:30,,,X,X,,,
Author 1,H03T1,Hypothesis,0:15:50,0:01:00,,,,X,,,
Author 1,H03T1,Hypothesis,0:16:20,0:01:30,,,,X,,,
Author 1,H03T1,Hypothesis,0:16:50,0:02:00,,,,X,,,
Author 1,H03T1,Hypothesis,0:17:20,0:02:30,,,,X,,,
Author 1,H03T1,Hypothesis,0:17:50,0:03:00,,,,X,,,
Author 1,H03T1,Hypothesis,0:18:20,0:03:30,,,,X,,,
Author 1,H03T1,Hypothesis,0:18:50,0:04:00,,,,X,X,X,X
Author 1,H03T1,Hypothesis,0:19:20,0:04:30,,,,,X,X,
Author 1,H03T1,Hypothesis,0:19:50,0:05:00,,X,,,,X,
Author 1,H03T1,Hypothesis,0:20:20,0:05:30,,X,X,,,,
Author 1,H03T1,Hypothesis,0:20:50,0:06:00,,,X,X,,,
Author 1,H03T1,Hypothesis,0:21:20,0:06:30,,,,X,,,
Author 1,H03T1,Hypothesis,0:21:50,0:07:00,,,,X,,,
Author 1,H03T1,Hypothesis,0:22:20,0:07:30,,,,X,,,
Author 1,H03T1,Hypothesis,0:22:50,0:08:00,,,,X,X,X,
Author 1,H03T1,Hypothesis,0:23:20,0:08:30,,,,X,,,
Author 1,H03T2,Hypothesis,0:27:53,0:00:00,,X,,,,,
Author 1,H03T2,Hypothesis,0:28:23,0:00:30,,X,,,,,
Author 1,H03T2,Hypothesis,0:28:53,0:01:00,,X,X,X,,,
Author 1,H03T2,Hypothesis,0:29:23,0:01:30,,X,,X,X,X,
Author 1,H03T2,Hypothesis,0:29:53,0:02:00,,X,,,,,
Author 1,H03T2,Hypothesis,0:30:23,0:02:30,,X,,,,,
Author 1,H03T2,Hypothesis,0:30:53,0:03:00,,X,X,X,,,
Author 1,H03T2,Hypothesis,0:31:23,0:03:30,,,,X,X,X,
Author 1,H03T2,Hypothesis,0:31:53,0:04:00,,,X,X,,,
Author 1,H03T2,Hypothesis,0:32:23,0:04:30,,,,X,X,,
Author 1,H03T2,Hypothesis,0:32:53,0:05:00,,,,X,X,X,
Author 1,H03T2,Hypothesis,0:33:23,0:05:30,,,,X,X,X,X
Author 1,H03T2,Hypothesis,0:33:53,0:06:00,,,,,,,X
Author 1,H03T2,Hypothesis,0:34:23,0:06:30,,,,,,,X
Author 1,H03T2,Hypothesis,0:34:53,0:07:00,,,X,X,,,
Author 1,H03T2,Hypothesis,0:35:23,0:07:30,,,,X,,,
Author 1,H03T2,Hypothesis,0:35:53,0:08:00,,,,,,,
Author 1,H03T2,Hypothesis,0:36:23,0:08:30,,,,,,,
Author 1,H03T2,Hypothesis,0:36:53,0:09:00,,,X,X,,,
Author 1,H03T2,Hypothesis,0:37:23,0:09:30,,,,X,,,
Author 1,H03T2,Hypothesis,0:37:53,0:10:00,,,,X,X,X,X
Author 1,H03T2,Hypothesis,0:38:23,0:10:30,,,,X,X,X,X
Author 1,H03T2,Hypothesis,0:38:53,0:11:00,,,,,,,X
Author 1,H03T2,Hypothesis,0:39:23,0:11:30,,,,X,,,
Author 1,H03T2,Hypothesis,0:39:53,0:12:00,,,,X,,,
Author 1,H03T2,Hypothesis,0:40:23,0:12:30,,,,,,,
